Play Id, X Position, Y Position, Possession Id, Distance, Vertical Distance, Total Distance, Thrower id, Reciever Id, Breakthrow?, Stall Six?, Stall Eight?, Defender Id, Stall?, Block?, Throwaway?, Intercept?, Drop?, Score?, Home Attacking Right?, Point Id, Game Id, Opponent Name, Last X, Last Y, Next X, Next Y, Home on Offense
442#1371831469#1371832308#0#0, 8506, 4935, 442#1371831469#1371832308#0#0, 64.246, 6.455, 64.569, 0, 0, false, false, false, 0, false, false, true, false, false, false, false, 442#1371831469#1371832308#0, 442#1371831469#1371832308, Revolver 13, 3564, 3644, 7852, 2533, false
442#1371831469#1371832308#0#1, 7852, 2533, 442#1371831469#1371832308#0#1, -4.446, 12.17, 12.957, 1371831849, 1371832026, false, false, false, 0, false, false, false, false, false, false, false, 442#1371831469#1371832308#0, 442#1371831469#1371832308, Revolver 13, 7510, 4967, 7051, 5147, true
442#1371831469#1371832308#0#10, 6279, 1307, 442#1371831469#1371832308#0#1, -10.153, 0.575, 10.169, 1371831762, 1371831849, false, false, false, 0, false, false, false, false, false, false, false, 442#1371831469#1371832308#0, 442#1371831469#1371832308, Revolver 13, 5498, 1422, 5576, 1961, true
442#1371831469#1371832308#0#11, 5576, 1961, 442#1371831469#1371832308#0#1, 9.139, 3.27, 9.706, 1371831849, 1371832103, false, false, false, 0, false, false, false, false, false, false, false, 442#1371831469#1371832308#0, 442#1371831469#1371832308, Revolver 13, 6279, 1307, 6240, 2827, true
442#1371831469#1371832308#0#12, 6240, 2827, 442#1371831469#1371832308#0#1, -8.632, 4.33, 9.657, 1371832103, 1371831849, false, false, false, 0, false, false, false, false, false, false, false, 442#1371831469#1371832308#0, 442#1371831469#1371832308, Revolver 13, 5576, 1961, 5732, 6111, true
442#1371831469#1371832308#0#13, 5732, 6111, 442#1371831469#1371832308#0#1, 6.604, 16.42, 17.698, 1371831849, 1371831691, false, false, false, 0, false, false, false, false, false, false, false, 442#1371831469#1371832308#0, 442#1371831469#1371832308, Revolver 13, 6240, 2827, 6533, 3889, true
442#1371831469#1371832308#0#14, 6533, 3889, 442#1371831469#1371832308#0#1, -10.413, 11.11, 15.227, 1371831691, 1371831849, false, false, false, 0, false, false, false, false, false, false, false, 442#1371831469#1371832308#0, 442#1371831469#1371832308, Revolver 13, 5732, 6111, 4873, 2304, true
442#1371831469#1371832308#0#15, 4873, 2304, 442#1371831469#1371832308#0#1, 21.58, 7.925, 22.989, 1371831849, 1371832026, false, false, false, 0, false, false, false, false, false, false, false, 442#1371831469#1371832308#0, 442#1371831469#1371832308, Revolver 13, 6533, 3889, 3877, 1634, true
442#1371831469#1371832308#0#16, 3877, 1634, 442#1371831469#1371832308#0#1, 12.948, 3.35, 13.374, 1371832026, 1371831912, false, false, false, 0, false, false, false, false, false, false, false, 442#1371831469#1371832308#0, 442#1371831469#1371832308, Revolver 13, 4873, 2304, 5098, 1618, true
442#1371831469#1371832308#0#17, 5098, 1618, 442#1371831469#1371832308#0#1, -15.873, 0.08, 15.873, 1371831912, 1371831849, false, false, false, 0, false, false, false, false, false, false, false, 442#1371831469#1371832308#0, 442#1371831469#1371832308, Revolver 13, 3877, 1634, 4971, 4003, true
442#1371831469#1371832308#0#18, 4971, 4003, 442#1371831469#1371832308#0#1, 1.651, 11.925, 12.039, 1371831849, 1371832026, false, false, false, 0, false, false, false, false, false, false, false, 442#1371831469#1371832308#0, 442#1371831469#1371832308, Revolver 13, 5098, 1618, 4131, 2190, true
442#1371831469#1371832308#0#19, 4131, 2190, 442#1371831469#1371832308#0#1, 10.92, 9.065, 14.192, 1371832026, 1371831912, false, false, false, 0, false, false, false, false, false, false, false, 442#1371831469#1371832308#0, 442#1371831469#1371832308, Revolver 13, 4971, 4003, 3828, 7680, true
442#1371831469#1371832308#0#2, 7051, 5147, 442#1371831469#1371832308#0#1, 10.413, 13.07, 16.711, 1371832026, 1371831849, false, false, false, 0, false, false, false, false, false, false, false, 442#1371831469#1371832308#0, 442#1371831469#1371832308, Revolver 13, 7852, 2533, 6436, 1814, true
442#1371831469#1371832308#0#20, 3828, 7680, 442#1371831469#1371832308#0#1, 3.939, 27.45, 27.731, 1371831912, 0, false, false, false, 0, false, false, true, false, false, false, false, 442#1371831469#1371832308#0, 442#1371831469#1371832308, Revolver 13, 4131, 2190, 4668, 8252, true
442#1371831469#1371832308#0#21, 4668, 8252, 442#1371831469#1371832308#0#2, 10.036, 3.105, 10.505, 0, 0, false, false, false, 1371832103, false, false, false, false, false, false, false, 442#1371831469#1371832308#0, 442#1371831469#1371832308, Revolver 13, 3896, 7631, 5566, 8268, false
442#1371831469#1371832308#0#22, 5566, 8268, 442#1371831469#1371832308#0#2, 11.674, 0.08, 11.674, 0, 0, false, false, false, 1371831602, false, false, false, true, false, false, false, 442#1371831469#1371832308#0, 442#1371831469#1371832308, Revolver 13, 4668, 8252, 6436, 6830, false
442#1371831469#1371832308#0#23, 6436, 6830, 442#1371831469#1371832308#0#3, -11.31, 7.19, 13.402, 1371831602, 1371831849, false, false, false, 0, false, false, false, false, false, false, false, 442#1371831469#1371832308#0, 442#1371831469#1371832308, Revolver 13, 5566, 8268, 6465, 3938, true
442#1371831469#1371832308#0#24, 6465, 3938, 442#1371831469#1371832308#0#3, -0.377, 14.46, 14.465, 1371831849, 1371832026, false, false, false, 0, false, false, false, false, false, false, false, 442#1371831469#1371832308#0, 442#1371831469#1371832308, Revolver 13, 6436, 6830, 6895, 3595, true
442#1371831469#1371832308#0#25, 6895, 3595, 442#1371831469#1371832308#0#3, -5.59, 1.715, 5.847, 1371832026, 1371831849, false, false, false, 0, false, false, false, false, false, false, false, 442#1371831469#1371832308#0, 442#1371831469#1371832308, Revolver 13, 6465, 3938, 6045, 1634, true
442#1371831469#1371832308#0#26, 6045, 1634, 442#1371831469#1371832308#0#3, 11.05, 9.805, 14.773, 1371831849, 1371831691, false, false, false, 0, false, false, false, false, false, false, false, 442#1371831469#1371832308#0, 442#1371831469#1371832308, Revolver 13, 6895, 3595, 6660, 2843, true
442#1371831469#1371832308#0#27, 6660, 2843, 442#1371831469#1371832308#0#3, -7.995, 6.045, 10.023, 1371831691, 1371831849, false, false, false, 0, false, false, false, false, false, false, false, 442#1371831469#1371832308#0, 442#1371831469#1371832308, Revolver 13, 6045, 1634, 6191, 4232, true
442#1371831469#1371832308#0#28, 6191, 4232, 442#1371831469#1371832308#0#3, 6.097, 6.945, 9.242, 1371831849, 1371831849, false, false, false, 0, false, false, false, false, false, false, false, 442#1371831469#1371832308#0, 442#1371831469#1371832308, Revolver 13, 6660, 2843, 4561, 6912, true
442#1371831469#1371832308#0#29, 4561, 6912, 442#1371831469#1371832308#0#3, 21.19, 13.4, 25.071, 1371831849, 0, false, false, false, 0, false, false, false, true, false, false, false, 442#1371831469#1371832308#0, 442#1371831469#1371832308, Revolver 13, 6191, 4232, 5273, 7451, true
442#1371831469#1371832308#0#3, 6436, 1814, 442#1371831469#1371832308#0#1, 7.995, 16.665, 18.484, 1371831849, 1371831602, false, false, false, 0, false, false, false, false, false, false, false, 442#1371831469#1371832308#0, 442#1371831469#1371832308, Revolver 13, 7051, 5147, 7041, 2598, true
442#1371831469#1371832308#0#30, 5273, 7451, 442#1371831469#1371832308#0#4, 9.256, 2.695, 9.64, 0, 0, false, false, false, 1371831912, false, false, false, false, false, false, false, 442#1371831469#1371832308#0, 442#1371831469#1371832308, Revolver 13, 4561, 6912, 5635, 8333, false
442#1371831469#1371832308#0#31, 5635, 8333, 442#1371831469#1371832308#0#4, 4.706, 4.41, 6.449, 0, 0, false, false, false, 1371831691, false, false, false, false, false, false, false, 442#1371831469#1371832308#0, 442#1371831469#1371832308, Revolver 13, 5273, 7451, 6553, 8088, false
442#1371831469#1371832308#0#32, 6553, 8088, 442#1371831469#1371832308#0#4, 11.934, 1.225, 11.997, 0, 0, false, false, false, 1371831849, false, false, false, false, false, false, false, 442#1371831469#1371832308#0, 442#1371831469#1371832308, Revolver 13, 5635, 8333, 8047, 8072, false
442#1371831469#1371832308#0#33, 8047, 8072, 442#1371831469#1371832308#0#4, 19.422, 0.08, 19.422, 0, 0, false, false, false, 1371832103, false, false, false, false, false, true, false, 442#1371831469#1371832308#0, 442#1371831469#1371832308, Revolver 13, 6553, 8088, null, null, false
442#1371831469#1371832308#0#4, 7041, 2598, 442#1371831469#1371832308#0#1, -7.865, 3.92, 8.788, 1371831602, 1371831849, false, false, false, 0, false, false, false, false, false, false, false, 442#1371831469#1371832308#0, 442#1371831469#1371832308, Revolver 13, 6436, 1814, 7461, 3137, true
442#1371831469#1371832308#0#5, 7461, 3137, 442#1371831469#1371832308#0#1, -5.46, 2.695, 6.089, 1371831849, 1371832103, false, false, false, 0, false, false, false, false, false, false, false, 442#1371831469#1371832308#0, 442#1371831469#1371832308, Revolver 13, 7041, 2598, 7803, 3840, true
442#1371831469#1371832308#0#6, 7803, 3840, 442#1371831469#1371832308#0#1, -4.446, 3.515, 5.668, 1371832103, 1371831849, false, false, false, 0, false, false, false, false, false, false, false, 442#1371831469#1371832308#0, 442#1371831469#1371832308, Revolver 13, 7461, 3137, 6514, 3056, true
442#1371831469#1371832308#0#7, 6514, 3056, 442#1371831469#1371832308#0#1, 16.757, 3.92, 17.209, 1371831849, 1371831691, false, false, false, 0, false, false, false, false, false, false, false, 442#1371831469#1371832308#0, 442#1371831469#1371832308, Revolver 13, 7803, 3840, 6182, 1503, true
