Year,Team,Player,+/-,Games played,Points played,Minutes played,O-line points played,+/- O-line,D-line points played,+/- D-line,Touches,Goals,Callahans,Assists,Throws,Throw aways,Stalled's,Passer Penalties (turnovers),Callahaned's (other team scored),Throw %,Catches,Drops,Catch %,Ds,Pulls,Avg Pull Hang Time,OB Pulls
2017,Atlanta Hustle,A Olsen,9,8,160,206.2,88.5,35,71.5,-39,94,12,0,6,82,10,0,0,0,88,90,1,99,2,0,0,0
2017,Atlanta Hustle,A Taylor,16,9,198,223,160,92,38,-9,146,8,0,15,136,4,1,0,0,96,141,3,98,1,0,0,0
2017,Atlanta Hustle,Allan L,21,9,205,250.3,142,76,63,-27,240,10,0,24,228,17,0,0,0,93,170,2,99,6,45,7.2,2
2017,Atlanta Hustle,Anonymous,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,100,0,0,0,1,19,2.2,0
2017,Atlanta Hustle,Archie,0,4,52,57.6,4,-3,48,-27,5,1,0,0,4,1,0,0,0,75,5,0,100,0,0,0,0
2017,Atlanta Hustle,Birdsong,0,2,19,31.6,10,5,9,-9,8,0,0,0,8,0,0,0,0,100,8,0,100,0,0,0,0
2017,Atlanta Hustle,Boecking,6,12,295,353.3,125.5,54,169.5,-87,294,2,0,14,289,22,0,0,1,92,209,3,99,15,34,5.8,1
2017,Atlanta Hustle,Bradham,4,8,102,110.2,3.5,-2,98.5,-68,9,3,0,1,6,0,0,0,0,100,8,1,89,1,0,0,0
2017,Atlanta Hustle,Bush,52,12,279,338.6,238,125,41,-8,154,38,0,24,114,9,0,0,0,92,145,4,97,3,3,6.5,0
2017,Atlanta Hustle,C Olsen,23,10,204.5,265.4,92.5,39,112,-40,196,16,0,18,178,15,0,0,0,92,186,1,99,5,1,7.6,0
2017,Atlanta Hustle,Caldwell,0,2,22,26.9,1,0,21,-13,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
2017,Atlanta Hustle,Dylan,21,5,130,153.3,121,68,9,4,246,12,0,28,237,18,1,0,0,92,188,0,100,0,0,0,0
2017,Atlanta Hustle,Gainer,20,9,182,208.1,133,68,49,-21,106,8,0,16,96,9,0,0,0,91,92,1,99,6,0,0,0
2017,Atlanta Hustle,Haskell,6,3,46.5,62.6,20,11,26.5,-19,18,3,0,4,15,4,0,0,0,73,15,0,100,3,4,6.6,0
2017,Atlanta Hustle,Hunter,1,2,12,12.1,2,-1,10,-8,3,1,0,0,2,0,0,0,0,100,3,0,100,0,0,0,0
2017,Atlanta Hustle,Jaime,1,7,81,70.4,6,1,75,-49,10,0,0,2,9,3,0,0,0,67,6,0,100,2,48,5.5,6
2017,Atlanta Hustle,JP Burns,18,13,250,337.7,46.5,8,203.5,-109,96,8,0,13,87,11,0,0,0,87,78,3,96,11,3,3.4,0
2017,Atlanta Hustle,Justin M,2,3,33,46.5,4,-2,29,-21,6,1,0,0,5,1,0,0,0,80,4,0,100,2,0,0,0
2017,Atlanta Hustle,Kelvin,27,13,219,276.1,24.5,-8,194.5,-111,35,14,0,0,19,2,0,0,0,89,31,0,100,15,0,0,0
2017,Atlanta Hustle,Knowles,0,5,59,68.4,9,3,50,-25,23,0,0,0,23,0,0,0,0,100,15,1,94,1,0,0,0
2017,Atlanta Hustle,Kyle S,18,12,242.5,288.6,181,91,61.5,-17,267,8,0,15,257,9,0,0,0,96,198,0,100,4,29,6.3,1
2017,Atlanta Hustle,Lally,21,9,176.5,206.7,49,18,127.5,-59,95,13,0,8,81,9,0,0,0,89,89,1,99,10,35,5.5,2
2017,Atlanta Hustle,Leonard,28,9,205.5,258.5,191,85,14.5,8,349,14,0,24,336,10,0,0,0,97,250,1,100,1,0,0,0
2017,Atlanta Hustle,M Smith,68,13,304,392.6,279.5,151,24.5,8,335,54,0,19,282,7,1,0,0,97,321,4,99,7,0,0,0
2017,Atlanta Hustle,Micah Jo,6,2,35,31.9,32,22,3,-1,17,4,0,3,13,2,0,0,0,85,10,0,100,1,0,0,0
2017,Atlanta Hustle,Newman,1,4,64.5,82.5,15,7,49.5,-27,25,4,0,0,21,5,0,0,0,76,16,1,94,3,1,0,0
2017,Atlanta Hustle,Parker,8,7,148.5,188.3,52.5,7,96,-56,109,5,0,16,105,20,0,0,0,81,69,2,97,9,34,6.4,2
2017,Atlanta Hustle,Sears,20,10,163.5,229.4,22,0,141.5,-80,25,13,0,2,12,0,0,0,0,100,25,0,100,5,0,0,0
2017,Atlanta Hustle,Sperling,1,3,40.5,52.8,20,7,20.5,-12,20,2,0,1,18,2,0,0,0,89,19,0,100,0,0,0,0
2017,Atlanta Hustle,Staber,2,5,91.5,111.6,16,9,75.5,-41,37,2,0,3,34,4,0,0,0,88,24,0,100,1,1,0,0
2017,Atlanta Hustle,Sun,16,12,198,248.2,42.5,16,155.5,-86,129,9,0,12,119,10,0,0,0,92,105,1,99,6,49,6.5,7
2017,Atlanta Hustle,Thor,12,9,118,135.5,24,2,94,-49,43,5,0,5,38,2,0,0,0,95,42,1,98,5,9,5.1,0
2017,Atlanta Hustle,Tree,4,4,50,45.7,5,-1,45,-25,12,1,0,2,11,2,0,0,0,82,8,0,100,3,2,7.1,0
2017,Atlanta Hustle,Trenton,11,10,173.5,225.5,33.5,12,140,-78,46,5,0,1,40,2,0,0,0,95,42,1,98,8,0,0,0
2017,Atlanta Hustle,Vickroy,61,13,309.5,379.1,272.5,143,37,-3,287,41,0,41,244,29,1,0,0,88,264,2,99,11,2,5.9,0
2017,Atlanta Hustle,AVERAGE,14.4,7.4,139.1,,70.5,32.5,68.7,-34.4,99.6,9.1,0,9.1,90.1,6.9,0.1,0,0,87.3,82.2,1,92.9,4.3,9.1,,0.6
2017,Atlanta Hustle,TOTAL,,,,,,,,,3486,317,0,317,3154,240,4,0,1,,2876,34,,149,319,,
2017,Austin Sol,Anonymous,-3,0,0,0,0,0,0,0,17,1,0,1,32,6,0,0,0,81,17,0,100,1,8,3.9,0
2017,Austin Sol,Bautis V,10,10,122,137.4,10,3,112,-47,33,8,0,2,24,2,0,0,0,92,30,1,97,3,5,3.4,0
2017,Austin Sol,Bennet M,34,10,212,236.3,170,89,42,-3,142,25,1,16,117,10,0,0,0,91,134,1,99,4,2,6,0
2017,Austin Sol,Best J,10,11,217,265.3,78,24,139,-70,241,6,0,11,235,19,0,0,0,92,186,0,100,12,26,5.8,3
2017,Austin Sol,Biersc M,22,9,168,189.3,123,57,45,-23,104,16,0,17,87,11,0,0,0,87,93,3,97,3,1,6.6,0
2017,Austin Sol,Bigley R,5,1,20.5,19.4,2.5,2,18,-7,9,0,0,2,9,0,0,0,0,100,5,0,100,3,0,0,0
2017,Austin Sol,Brooks C,0,1,14,19.2,7,2,7,-2,14,0,0,0,14,0,0,0,0,100,13,0,100,0,1,7.8,0
2017,Austin Sol,Cecil J,9,6,90,102.9,11.5,0,78.5,-22,30,4,0,2,25,2,0,0,0,92,26,1,96,6,1,1.4,0
2017,Austin Sol,Cunnin C,22,12,325.5,405.6,126.5,32,199,-92,267,9,0,37,255,34,0,0,0,87,210,5,98,15,143,5.9,15
2017,Austin Sol,Daftar K,2,4,40,33.2,0,0,40,-17,4,2,0,0,2,1,0,0,0,50,4,0,100,1,0,0,0
2017,Austin Sol,Davis A,9,7,146.5,151.4,76,32,70.5,-31,146,10,0,14,134,17,1,0,0,87,104,0,100,3,9,5.2,0
2017,Austin Sol,Deneco C,39,7,149,177.4,133,59,16,7,164,33,0,12,130,4,0,0,0,97,161,3,98,1,0,0,0
2017,Austin Sol,Dial B,2,7,73,74,8,-4,65,-46,11,1,0,1,10,3,0,0,0,70,9,0,100,3,2,3.8,0
2017,Austin Sol,Frohli J,2,4,53,65.5,4.5,0,48.5,-13,36,0,0,3,34,4,0,0,0,88,29,0,100,3,1,1.5,0
2017,Austin Sol,Graman B,-2,2,26,41.6,14.5,0,11.5,-6,29,1,0,1,29,5,0,0,0,83,19,0,100,1,3,5.6,0
2017,Austin Sol,Hays M,29,11,227.5,308.1,70.5,16,157,-75,85,19,0,8,65,7,0,0,0,89,76,1,99,10,0,0,0
2017,Austin Sol,Henke K,7,2,41.5,46.2,7,3,34.5,-14,10,5,0,2,5,0,0,0,0,100,10,0,100,0,1,6.6,0
2017,Austin Sol,Kinney L,1,1,16,25.3,3,1,13,-2,16,0,0,1,16,0,0,0,0,100,14,0,100,0,0,0,0
2017,Austin Sol,Loskor J,16,5,110,145.5,75,40,35,1,221,2,0,19,217,10,1,0,0,95,187,2,99,8,0,0,0
2017,Austin Sol,Matthi M,22,9,197.5,272,86.5,13,111,-53,137,12,0,13,124,12,0,0,0,90,123,1,99,10,1,6.3,1
2017,Austin Sol,Mock N,10,8,115,108.6,36.5,8,78.5,-40,35,5,0,5,28,3,0,0,0,89,32,1,97,4,1,5,0
